ct,numero,k,hIni,hFin,nrCasas,tamIntervalo,percentual,primo1,primo2,sinal,percPrimosTopo 
49,233,39,9048,9520,19,473,4.0169,54401,54403,-1,0.2114
50,239,40,9520,9680,12,161,7.4534,57191,57193,-1,1.2422
51,241,40,9680,10500,5,821,0.6090,58109,58111,1,0.2436
52,251,42,10500,11008,5,509,0.9823,63029,63031,-1,0.1965
53,257,43,11008,11528,10,521,1.9194,66107,66109,-1,0.1919
54,263,44,11528,12060,4,533,0.7505,69191,69193,-1,0.1876
55,269,45,12060,12240,18,181,9.9448,72467,72469,-1,1.6575
56,271,45,12240,12788,28,549,5.1002,73607,73609,1,0.1821
57,277,46,12788,13160,17,373,4.5576,76829,76831,1,0.2681
58,281,47,13160,13348,3,189,1.5873,78977,78979,-1,0.5291
59,283,47,13348,14308,10,961,1.0406,80147,80149,1,0.1041
60,293,49,14308,15708,14,1401,0.9993,85931,85933,-1,0.1428
61,307,51,15708,16120,10,413,2.4213,94307,94309,1,0.2421
62,311,52,16120,16328,3,209,1.4354,96737,96739,-1,0.4785
63,313,52,16328,16748,7,421,1.6627,98009,98011,1,0.2375
64,317,53,16748,18260,5,1513,0.3305,100517,100519,-1,0.1322
65,331,55,18260,18928,10,669,1.4948,109619,109621,1,0.1495
66,337,56,18928,20068,9,1141,0.7888,113621,113623,1,0.0876
67,347,58,20068,20300,47,233,20.1717,120689,120691,-1,0.8584
68,349,58,20300,20768,25,469,5.3305,121949,121951,1,0.2132
69,353,59,20768,21480,27,713,3.7868,124769,124771,-1,0.2805
70,359,60,21480,22448,10,969,1.0320,128939,128941,-1,0.1032
71,367,61,22448,23188,25,741,3.3738,134837,134839,1,0.2699
72,373,62,23188,23940,12,753,1.5936,139199,139201,1,0.5312
73,379,63,23940,24448,2,509,0.3929,143651,143653,1,0.1965
74,383,64,24448,25220,34,773,4.3984,146891,146893,-1,0.5175
75,389,65,25220,26268,3,1049,0.2860,151337,151339,-1,0.0953
76,397,66,26268,26800,5,533,0.9381,157637,157639,1,0.1876
77,401,67,26800,27880,13,1081,1.2026,160877,160879,-1,0.0925
78,409,68,27880,29260,5,1381,0.3621,167309,167311,1,0.0724
79,419,70,29260,29540,12,281,4.2705,175631,175633,-1,0.3559
80,421,70,29540,30960,32,1421,2.2519,177431,177433,1,0.1407
81,431,72,30960,31248,10,289,3.4602,185819,185821,-1,0.3460
82,433,72,31248,32120,24,873,2.7491,187631,187633,1,0.2291
83,439,73,32120,32708,28,589,4.7538,192887,192889,1,0.3396
84,443,74,32708,33600,5,893,0.5599,196277,196279,-1,0.1120
85,449,75,33600,34808,28,1209,2.3160,201767,201769,-1,0.2481
86,457,76,34808,35420,7,613,1.1419,208889,208891,1,0.1631
87,461,77,35420,35728,25,309,8.0906,212669,212671,-1,0.6472
88,463,77,35728,36348,19,621,3.0596,214481,214483,1,0.3221
89,467,78,36348,38240,55,1893,2.9054,218417,218419,-1,0.1057
90,479,80,38240,39528,18,1289,1.3964,229547,229549,-1,0.1552
91,487,81,39528,40180,87,653,13.3231,237689,237691,1,0.6126
92,491,82,40180,41500,30,1321,2.2710,241259,241261,-1,0.2271
93,499,83,41500,42168,22,669,3.2885,249131,249133,1,0.1495
94,503,84,42168,43180,25,1013,2.4679,253157,253159,-1,0.1974
95,509,85,43180,45240,7,2061,0.3396,259121,259123,-1,0.0485
96,521,87,45240,45588,10,349,2.8653,271499,271501,-1,0.2865
97,523,87,45588,48780,19,3193,0.5951,273641,273643,1,0.0626
98,541,90,48780,49868,5,1089,0.4591,292709,292711,1,0.1837
99,547,91,49868,51708,25,1841,1.3580,299357,299359,1,0.1086
100,557,93,51708,52828,19,1121,1.6949,310361,310363,-1,0.1784
101,563,94,52828,53960,20,1133,1.7652,317087,317089,-1,0.0883
102,569,95,53960,54340,7,381,1.8373,323801,323803,-1,0.2625
103,571,95,54340,55488,10,1149,0.8703,326099,326101,1,0.0870
104,577,96,55488,57428,10,1941,0.5152,332987,332989,1,0.1030
105,587,98,57428,58608,19,1181,1.6088,344681,344683,-1,0.1693
106,593,99,58608,59800,14,1193,1.1735,351731,351733,-1,0.1676
107,599,100,59800,60200,10,401,2.4938,358859,358861,-1,0.2494
108,601,100,60200,61408,2,1209,0.1654,361211,361213,1,0.0827
109,607,101,61408,62628,34,1221,2.7846,368651,368653,1,0.0819
110,613,102,62628,63448,22,821,2.6797,375899,375901,1,0.1218
111,617,103,63448,63860,25,413,6.0533,380837,380839,-1,0.4843
112,619,103,63860,66360,10,2501,0.3998,383219,383221,1,0.0400
113,631,105,66360,68480,30,2121,1.4144,398339,398341,1,0.1414
114,641,107,68480,68908,20,429,4.6620,410999,411001,-1,0.2331
115,643,107,68908,69768,39,861,4.5296,413681,413683,1,0.2323
116,647,108,69768,71068,4,1301,0.3075,418631,418633,-1,0.0769
117,653,109,71068,72380,24,1313,1.8279,426551,426553,-1,0.1523
118,659,110,72380,72820,18,441,4.0816,434387,434389,-1,0.2268
119,661,110,72820,75488,32,2669,1.1990,437111,437113,1,0.0749
120,673,112,75488,76388,45,901,4.9945,453197,453199,1,0.3330
121,677,113,76388,77748,12,1361,0.8817,458399,458401,-1,0.1470
122,683,114,77748,79580,27,1833,1.4730,466649,466651,-1,0.2182
123,691,115,79580,81900,12,2321,0.5170,477551,477553,1,0.0862
124,701,117,81900,83780,17,1881,0.9038,491501,491503,-1,0.0532
125,709,118,83780,86160,15,2381,0.6300,502769,502771,1,0.0420
126,719,120,86160,88088,3,1929,0.1555,516977,516979,-1,0.0518
127,727,121,88088,89548,17,1461,1.1636,528629,528631,1,0.0684
128,733,122,89548,91020,19,1473,1.2899,537401,537403,1,0.0679
129,739,123,91020,92008,5,989,0.5056,546149,546151,1,0.1011
130,743,124,92008,94000,7,1993,0.3512,552089,552091,-1,0.0502
131,751,125,94000,95508,10,1509,0.6627,564059,564061,1,0.0663
132,757,126,95508,96520,10,1013,0.9872,573107,573109,1,0.0987
133,761,127,96520,98560,13,2041,0.6369,579197,579199,-1,0.0490
134,769,128,98560,99588,40,1029,3.8873,591599,591601,1,0.1944
135,773,129,99588,103228,24,3641,0.6592,597671,597673,-1,0.0824
136,787,131,103228,105868,62,2641,2.3476,619739,619741,1,0.1136
137,797,133,105868,109080,7,3213,0.2179,635249,635251,-1,0.0622
138,809,135,109080,109620,8,541,1.4787,654527,654529,-1,0.1848
139,811,135,109620,112340,35,2721,1.2863,657929,657931,1,0.1103
140,821,137,112340,112888,3,549,0.5464,674057,674059,-1,0.1821
141,823,137,112888,113988,22,1101,1.9982,677459,677461,1,0.0908
142,827,138,113988,114540,32,553,5.7866,684119,684121,-1,0.3617
143,829,138,114540,117320,17,2781,0.6113,687341,687343,1,0.0360
144,839,140,117320,121268,18,3949,0.4558,704027,704029,-1,0.0506
145,853,142,121268,122408,45,1141,3.9439,727877,727879,1,0.1753
146,857,143,122408,122980,4,573,0.6981,734471,734473,-1,0.1745
147,859,143,122980,124128,8,1149,0.6963,737927,737929,1,0.1741
148,863,144,124128,128188,70,4061,1.7237,745187,745189,-1,0.0985
149,877,146,128188,129360,22,1173,1.8755,769259,769261,1,0.1705
150,881,147,129360,129948,3,589,0.5093,776177,776179,-1,0.1698
151,883,147,129948,131128,10,1181,0.8467,779747,779749,1,0.0847
152,887,148,131128,137108,20,5981,0.3344,786887,786889,-1,0.0167
153,907,151,137108,138320,4,1213,0.3298,822671,822673,1,0.0824
154,911,152,138320,140760,65,2441,2.6628,830309,830311,-1,0.0819
155,919,153,140760,143840,7,3081,0.2272,844601,844603,1,0.0325
156,929,155,143840,146328,83,2489,3.3347,863537,863539,-1,0.1205
157,937,156,146328,147580,9,1253,0.7183,878021,878023,1,0.0798
158,941,157,147580,149468,12,1889,0.6353,885551,885553,-1,0.0529
159,947,158,149468,151368,49,1901,2.5776,897101,897103,-1,0.1052
160,953,159,151368,155848,35,4481,0.7811,908417,908419,-1,0.0669
161,967,161,155848,157140,10,1293,0.7734,935147,935149,1,0.0773
162,971,162,157140,159088,3,1949,0.1539,942857,942859,-1,0.1026
163,977,163,159088,161048,50,1961,2.5497,954827,954829,-1,0.2550
164,983,164,161048,163680,15,2633,0.5697,966377,966379,-1,0.0380
165,991,165,163680,165668,3,1989,0.1508,982097,982099,1,0.0503
166,997,166,165668,169680,10,4013,0.2492,994067,994069,1,0.0249
167,1009,168,169680,171028,95,1349,7.0423,1018649,1018651,1,0.3706
168,1013,169,171028,173060,5,2033,0.2459,1026197,1026199,-1,0.0492
169,1019,170,173060,173740,40,681,5.8737,1038599,1038601,-1,0.1468
170,1021,170,173740,177160,28,3421,0.8185,1042607,1042609,1,0.0292
171,1031,172,177160,177848,3,689,0.4354,1062977,1062979,-1,0.1451
172,1033,172,177848,179920,40,2073,1.9296,1067327,1067329,1,0.1930
173,1039,173,179920,183400,25,3481,0.7182,1079669,1079671,1,0.0575
174,1049,175,183400,184100,7,701,0.9986,1100441,1100443,-1,0.1427
175,1051,175,184100,187620,10,3521,0.2840,1104659,1104661,1,0.0568
176,1061,177,187620,188328,32,709,4.5134,1125911,1125913,-1,0.2821
177,1063,177,188328,190460,77,2133,3.6099,1130429,1130431,1,0.2813
178,1069,178,190460,196928,35,6469,0.5410,1142969,1142971,1,0.0309
179,1087,181,196928,198380,22,1453,1.5141,1181699,1181701,1,0.0688
180,1091,182,198380,199108,35,729,4.8011,1190489,1190491,-1,0.4115
181,1093,182,199108,200568,14,1461,0.9582,1194731,1194733,1,0.0684
182,1097,183,200568,202768,47,2201,2.1354,1203689,1203691,-1,0.3180
183,1103,184,202768,204980,40,2213,1.8075,1216847,1216849,-1,0.0904
184,1109,185,204980,207948,10,2969,0.3368,1229939,1229941,-1,0.1347
185,1117,186,207948,210188,12,2241,0.5355,1247759,1247761,1,0.0892
186,1123,187,210188,212440,22,2253,0.9765,1261259,1261261,1,0.0888
187,1129,188,212440,220800,22,8361,0.2631,1274771,1274773,1,0.0239
188,1151,192,220800,221568,25,769,3.2510,1324949,1324951,-1,0.3901
189,1153,192,221568,225428,5,3861,0.1295,1329437,1329439,1,0.0518
190,1163,194,225428,228540,5,3113,0.1606,1352597,1352599,-1,0.0321
191,1171,195,228540,232460,57,3921,1.4537,1371581,1371583,1,0.0255
192,1181,197,232460,234828,22,2369,0.9287,1394891,1394893,-1,0.0422
193,1187,198,234828,237208,4,2381,0.1680,1408991,1408993,-1,0.0420
194,1193,199,237208,240400,12,3193,0.3758,1423319,1423321,-1,0.0626
195,1201,200,240400,245228,87,4829,1.8016,1442921,1442923,1,0.1242
196,1213,202,245228,246848,7,1621,0.4318,1471409,1471411,1,0.0617
197,1217,203,246848,249288,75,2441,3.0725,1481537,1481539,-1,0.1229
198,1223,204,249288,251740,17,2453,0.6930,1495829,1495831,-1,0.0408
199,1229,205,251740,252560,40,821,4.8721,1510679,1510681,-1,0.2436
200,1231,205,252560,255028,60,2469,2.4301,1515719,1515721,1,0.0810
201,1237,206,255028,260000,10,4973,0.2011,1530227,1530229,1,0.0201
202,1249,208,260000,264180,8,4181,0.1913,1560047,1560049,1,0.0239
203,1259,210,264180,271788,35,7609,0.4600,1585289,1585291,-1,0.0263
204,1277,213,271788,272640,19,853,2.2274,1630841,1630843,-1,0.2345
205,1279,213,272640,274348,22,1709,1.2873,1635971,1635973,1,0.1170
206,1283,214,274348,276920,10,2573,0.3887,1646147,1646149,-1,0.0389
207,1289,215,276920,277780,52,861,6.0395,1661831,1661833,-1,0.2323
208,1291,215,277780,280368,8,2589,0.3090,1666727,1666729,1,0.0386
209,1297,216,280368,282100,7,1733,0.4039,1682249,1682251,1,0.1154
210,1301,217,282100,282968,38,869,4.3728,1692827,1692829,-1,0.3452
211,1303,217,282968,284708,10,1741,0.5744,1697867,1697869,1,0.0574
212,1307,218,284708,289960,27,5253,0.5140,1708409,1708411,-1,0.0381
213,1319,220,289960,290840,18,881,2.0431,1739867,1739869,-1,0.2270
214,1321,220,290840,293488,12,2649,0.4530,1745111,1745113,1,0.0755
215,1327,221,293488,308720,29,15233,0.1904,1761101,1761103,1,0.0197
216,1361,227,308720,311448,18,2729,0.6596,1852427,1852429,-1,0.0366
217,1367,228,311448,314188,5,2741,0.1824,1868717,1868719,-1,0.0365
218,1373,229,314188,317860,4,3673,0.1089,1885151,1885153,-1,0.0545
219,1381,230,317860,326200,12,8341,0.1439,1907231,1907233,1,0.0240
220,1399,233,326200,330880,17,4681,0.3632,1957301,1957303,1,0.0214
221,1409,235,330880,337488,52,6609,0.7868,1985591,1985593,-1,0.0303
222,1423,237,337488,339388,54,1901,2.8406,2025251,2025253,1,0.2104
223,1427,238,339388,340340,2,953,0.2099,2036339,2036341,-1,0.1049
224,1429,238,340340,342248,60,1909,3.1430,2042399,2042401,1,0.0524
225,1433,239,342248,345120,22,2873,0.7658,2053619,2053621,-1,0.0696
226,1439,240,345120,348968,13,3849,0.3378,2070797,2070799,-1,0.0260
227,1447,241,348968,350900,50,1933,2.5867,2094107,2094109,1,0.1552
228,1451,242,350900,351868,3,969,0.3096,2105417,2105419,-1,0.1032
229,1453,242,351868,354780,17,2913,0.5836,2111309,2111311,1,0.0343
230,1459,243,354780,360640,17,5861,0.2901,2128781,2128783,1,0.0171
231,1471,245,360640,365560,7,4921,0.1422,2163881,2163883,1,0.0203
232,1481,247,365560,366548,10,989,1.0111,2193419,2193421,-1,0.1011
233,1483,247,366548,368528,4,1981,0.2019,2199311,2199313,1,0.0505
234,1487,248,368528,369520,15,993,1.5106,2211257,2211259,-1,0.2014
235,1489,248,369520,371508,62,1989,3.1171,2217491,2217493,1,0.2011
236,1493,249,371508,374500,12,2993,0.4009,2229119,2229121,-1,0.0334
237,1499,250,374500,380520,17,6021,0.2823,2247101,2247103,-1,0.0498
238,1511,252,380520,386588,3,6069,0.0494,2283137,2283139,-1,0.0165
239,1523,254,386588,390660,139,4073,3.4127,2320361,2320363,-1,0.1473
240,1531,255,390660,396808,50,6149,0.8131,2344259,2344261,1,0.0325
241,1543,257,396808,399900,39,3093,1.2609,2381081,2381083,1,0.0323
242,1549,258,399900,401968,13,2069,0.6283,2399477,2399479,1,0.0483
243,1553,259,401968,405080,10,3113,0.3212,2411867,2411869,-1,0.0642
244,1559,260,405080,409248,42,4169,1.0074,2430731,2430733,-1,0.0240
245,1567,261,409248,411340,4,2093,0.1911,2455511,2455513,1,0.0478
246,1571,262,411340,415540,10,4201,0.2380,2468099,2468101,-1,0.0238
247,1579,263,415540,417648,15,2109,0.7112,2493329,2493331,1,0.0474
248,1583,264,417648,425068,17,7421,0.2291,2505989,2505991,-1,0.0135
249,1597,266,425068,427200,10,2133,0.4688,2550467,2550469,1,0.0469
250,1601,267,427200,430408,28,3209,0.8725,2563367,2563369,-1,0.0312
79880,1018859,169810,173012276980,173017031688,10,4754709,0.0002,1038073661939,1038073661941,-1,0.0000
79879,1018817,169803,172998013248,173012276980,84,14263733,0.0006,1037988079991,1037988079993,-1,0.0000
79878,1018813,169802,172996654828,172998013248,220,1358421,0.0162,1037979930287,1037979930289,1,0.0004
79877,1018811,169802,172995975620,172996654828,22,679209,0.0032,1037975853851,1037975853853,-1,0.0001
79876,1018807,169801,172994617208,172995975620,250,1358413,0.0184,1037967704747,1037967704749,1,0.0004
79875,1018789,169798,172988504420,172994617208,48,6112789,0.0008,1037931026807,1037931026809,1,0.0000
79874,1018777,169796,172984429288,172988504420,117,4075133,0.0029,1037906576429,1037906576431,1,0.0000
